 Wd pai   fai   zH  zHmax   zHstd zd z0
260 0.249 0.296 9.234 24.719 4.892 12.070 1.232
261 0.221 0.224 8.653 24.924 4.402 10.841 0.992
262 0.235 0.242 7.913 20.816 3.724 9.780 0.892
263 0.248 0.225 7.957 18.699 3.192 9.465 0.763
264 0.255 0.231 7.828 19.406 3.345 9.618 0.767
265 0.233 0.295 8.587 23.075 3.567 10.252 1.058
266 0.291 0.362 8.625 20.562 3.763 11.081 1.050
267 0.302 0.319 8.672 22.734 3.418 11.092 0.890
268 0.277 0.336 8.673 25.716 4.243 11.586 1.119
269 0.292 0.338 9.094 26.539 4.671 12.533 1.176
270 0.250 0.285 7.835 18.593 3.370 9.531 0.907
271 0.281 0.304 9.157 26.339 4.701 12.429 1.133
272 0.267 0.301 9.223 26.170 4.670 12.247 1.160
273 0.200 0.243 8.866 21.062 3.819 10.028 1.074
274 0.199 0.226 8.870 23.349 4.068 10.315 1.045
275 0.165 0.225 8.552 21.738 4.134 9.450 1.130
276 0.185 0.191 9.259 25.411 4.429 10.690 1.022
277 0.163 0.251 9.065 23.894 4.720 10.251 1.317
278 0.220 0.295 8.598 23.583 3.843 10.309 1.128
279 0.169 0.224 7.732 22.237 3.931 8.882 1.017
280 0.150 0.212 8.700 22.087 4.329 9.401 1.161
281 0.061 0.106 6.626 16.090 2.879 5.137 0.719
282 0.059 0.088 7.871 19.689 3.669 6.192 0.730
283 0.059 0.071 7.606 19.778 3.396 5.967 0.570
284 0.078 0.093 8.916 19.620 3.661 7.233 0.799
285 0.061 0.077 7.870 17.257 3.642 6.088 0.635
286 0.075 0.122 7.334 18.354 3.769 6.382 0.851
287 0.072 0.101 6.416 13.391 2.349 4.894 0.637
288 0.081 0.114 6.240 16.112 2.625 5.311 0.658
289 0.070 0.080 6.501 14.047 2.489 4.991 0.520
290 0.084 0.124 6.650 14.482 2.633 5.468 0.745
291 0.110 0.172 6.793 17.415 2.892 6.369 0.881
292 0.117 0.158 6.681 18.316 2.964 6.521 0.795
293 0.110 0.100 6.836 13.435 2.968 6.164 0.570
294 0.111 0.127 7.120 18.196 3.711 7.078 0.742
295 0.108 0.161 8.903 23.845 4.260 8.630 1.117
296 0.106 0.179 8.925 25.417 4.576 8.852 1.225
297 0.142 0.257 9.755 25.555 5.371 10.705 1.545
298 0.197 0.278 8.595 26.851 4.710 10.702 1.254
299 0.192 0.319 8.989 28.982 5.445 11.517 1.507
300 0.177 0.334 9.360 25.756 5.128 11.108 1.586
301 0.127 0.236 8.375 24.563 4.242 8.783 1.289
302 0.105 0.250 10.848 30.147 6.958 11.448 1.913
303 0.130 0.213 10.290 26.286 5.831 11.036 1.500
304 0.190 0.345 12.766 34.341 7.061 15.486 2.155
305 0.235 0.508 11.371 32.099 6.197 14.817 2.153
306 0.274 0.505 10.092 30.792 5.286 13.761 1.739
307 0.244 0.457 10.865 32.132 6.031 14.478 1.946
308 0.252 0.401 10.294 31.596 5.832 14.004 1.718
309 0.205 0.329 10.999 26.625 6.258 13.625 1.779
310 0.228 0.349 10.936 26.594 5.524 13.535 1.645
311 0.153 0.251 12.388 26.741 6.816 13.529 1.876
312 0.178 0.300 11.123 26.089 6.675 13.305 1.834
313 0.182 0.309 10.200 25.037 5.232 11.787 1.599
314 0.252 0.447 10.722 28.449 5.128 13.635 1.711
315 0.233 0.427 11.007 25.832 5.315 13.478 1.796
316 0.229 0.366 10.362 29.476 5.798 13.499 1.693
317 0.208 0.356 11.786 29.495 5.818 14.121 1.854
318 0.251 0.400 10.778 26.063 5.034 13.462 1.599
319 0.245 0.352 10.915 25.049 4.449 12.960 1.434
320 0.269 0.486 12.494 30.690 6.208 16.279 2.056
321 0.244 0.420 12.306 29.320 6.206 15.525 1.987
322 0.270 0.399 11.938 33.804 6.485 16.264 1.866
323 0.217 0.394 11.219 26.867 6.047 13.904 1.910
324 0.240 0.447 9.862 28.319 5.871 13.335 1.839
325 0.167 0.266 8.810 19.855 3.951 9.413 1.265
326 0.145 0.222 8.091 23.130 4.221 8.898 1.145
327 0.163 0.183 7.051 21.021 3.540 8.000 0.818
328 0.148 0.220 9.061 25.357 4.802 10.058 1.265
329 0.122 0.137 7.192 21.510 3.984 7.676 0.774
330 0.162 0.146 7.364 19.702 3.649 8.210 0.714
331 0.096 0.130 8.601 24.350 4.234 8.160 0.962
332 0.192 0.192 7.490 19.531 3.298 8.499 0.792
333 0.177 0.162 7.329 16.774 2.747 7.651 0.692
334 0.143 0.134 6.377 14.772 2.928 6.544 0.607
335 0.142 0.113 6.492 15.681 2.622 6.477 0.521
336 0.066 0.075 6.912 13.886 2.459 5.056 0.531
337 0.107 0.119 7.199 16.367 3.047 6.569 0.707
338 0.119 0.123 8.026 21.366 3.432 7.775 0.770
339 0.151 0.193 7.732 22.397 3.346 8.183 0.938
340 0.121 0.132 11.010 31.614 7.436 12.424 1.205
341 0.107 0.117 10.599 32.218 7.665 11.878 1.103
342 0.105 0.133 10.644 30.573 6.720 11.214 1.209
343 0.141 0.185 11.254 30.933 6.051 12.313 1.427
344 0.136 0.209 10.266 31.914 5.661 11.363 1.447
345 0.119 0.193 10.175 25.315 5.748 10.544 1.434
346 0.110 0.189 11.658 28.836 6.480 11.702 1.658
347 0.104 0.167 10.747 29.791 7.000 11.348 1.462
348 0.145 0.210 11.658 30.814 7.087 13.321 1.653
349 0.191 0.273 8.459 27.700 4.765 10.574 1.250
350 0.147 0.223 8.468 23.818 4.799 9.577 1.220
351 0.092 0.159 8.737 24.542 5.050 8.556 1.175
352 0.177 0.186 8.055 25.076 4.653 9.860 0.953
353 0.182 0.228 9.220 25.238 5.178 11.114 1.230
354 0.154 0.220 11.101 34.925 6.996 13.379 1.610
355 0.148 0.236 11.003 33.286 7.412 13.354 1.732
356 0.129 0.215 11.689 31.236 7.096 12.856 1.751
357 0.166 0.216 7.719 25.992 4.104 9.083 1.015
358 0.141 0.207 7.404 18.153 3.558 7.732 0.993
359 0.185 0.284 9.720 28.807 6.178 12.394 1.577
