iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2025 5 13 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.03 86.14 -10.19 97.79 0.03 44.73 -999.0 252.32 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 14 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.29 86.64 -9.77 97.74 0.05 20.98 -999.0 262.21 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 15 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.47 88.37 -9.53 97.67 0.07 1.49 -999.0 260.76 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 16 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.85 89.0 -9.26 97.64 0.07 0.0 -999.0 266.47 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 17 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.1 89.28 -8.9 97.62 0.09 0.0 -999.0 271.53 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 18 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.14 89.31 -8.7 97.59 0.13 0.0 -999.0 273.37 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 19 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.19 89.16 -8.44 97.56 0.14 0.0 -999.0 279.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 20 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.22 89.34 -8.25 97.54 0.18 0.0 -999.0 274.77 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 21 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.33 89.34 -8.15 97.5 0.23 0.0 -999.0 280.72 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 22 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.64 89.9 -8.26 97.46 0.25 0.0 -999.0 282.04 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 23 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.4 89.94 -8.13 97.4 0.23 0.0 -999.0 279.55 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 0 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.48 89.58 -8.08 97.34 0.25 0.0 -999.0 282.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 1 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.77 89.77 -8.01 97.3 0.33 0.0 -999.0 283.69 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 2 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.93 90.14 -7.92 97.26 0.37 0.0 -999.0 283.56 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 3 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.88 91.03 -7.77 97.16 0.36 0.0 -999.0 280.03 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 4 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.28 91.62 -7.55 97.08 0.34 0.0 -999.0 278.91 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 5 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.86 91.96 -7.27 97.0 0.34 0.0 -999.0 279.01 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 6 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.97 92.94 -6.91 96.94 0.37 0.0 -999.0 279.4 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 7 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.72 93.4 -6.15 96.87 0.47 0.0 -999.0 283.86 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 8 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.7 93.31 -5.43 96.9 0.4 0.0 -999.0 280.75 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 9 0 -999.0 -0.0 -0.0 -999.0 -999.0 6.06 92.08 -4.85 96.81 0.31 1.85 -999.0 278.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 10 0 -999.0 -0.0 -0.0 -999.0 -999.0 6.3 92.41 -4.4 96.7 0.45 14.52 -999.0 267.17 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 11 0 -999.0 -0.0 -0.0 -999.0 -999.0 7.67 91.48 -3.84 96.56 0.31 26.84 -999.0 270.26 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 6 12 0 -999.0 -0.0 -0.0 -999.0 -999.0 8.39 90.51 -3.33 96.46 0.49 31.88 -999.0 272.69 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
